sentiment,content
sadness,Layin n bed with a headache  ughhhh...waitin on your call...
sadness,Funeral ceremony...gloomy friday...
neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
sadness,@charviray Charlene my love. I miss you
sadness,@kelcouch I'm sorry  at least it's Friday?
neutral,cant fall asleep
sadness,Ugh! I have to beat this stupid song to get to the next  rude!
sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
sadness,The storm is here and the electricity is gone
sadness,So sleepy again and it's not even that late. I fail once again.
sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
neutral,@cynthia_123 i cant sleep
neutral,I missed the bl***y bus!!!!!!!!
neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
neutral,SoCal!  stoked. or maybe not.. tomorrow
neutral,Screw you @davidbrussee! I only have 3 weeks...
sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
neutral,has work this afternoon
neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
happiness,mmm much better day... so far! it's still quite early. last day of #uds
sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
neutral,wnna take a bath!!!!
neutral,Chocolate milk is so much better through a straw. I lack said straw
neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
neutral,@benballer  no way! damn that sucks B!  are you ok?
neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
neutral,@lostluna But I got dibs on Sulu...
sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
sadness,@Pokinatcha  in all honesty...pain   blech.
sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
neutral,At home alone with not much to do
sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
neutral,I cant give @jertronic any bday nudges.
neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
neutral,says I miss plurking.  http://plurk.com/p/wxion
neutral,I miss Voobys!
neutral,@Dancing_Monk Neither are ELP!!
happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
neutral,@lepetitagneau what's going on sweetheart?
neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
neutral,@willxxmobb work at 6am. Gotta go to bed soon
sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
sadness,dont wanna work 11-830 tomorrow  but i get paid
sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
neutral,PrinceCharming
neutral,Oh is that time for real?
sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
neutral,@justamedicine  That was stone cold   Crazy....  ?
neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
neutral,@thecreativeone I second that. I wish it rained more where I am
sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
neutral,damn it were is Eric or anyone else when you need your hair to be played with
neutral,I'm feel deflated. Ugh. No more dog.
sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
neutral,Well it almost was a good day... Guess I just retry tomorrow
sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
sadness,Is miserable  i feel like im gona cry  sux!
neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
sadness,*sigh* I'm going to bed... I just don't feel right anymore...
neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
neutral,@jwillock EpiCentre Wheelock Place - tourists only..
sadness,Now I am depressed after watching so you think you can dance
sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
neutral,miss 16'th
neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
neutral,what is it with chocolates? i just can never say no
neutral,@ether_radio i'm too awake now  ill have a nap this afternoon
neutral,still needs another 6 hours of sleep
neutral,"Morning tweeple,way to early again"
sadness,"Last day working for the Uni today, sad times"
neutral,"where are all ma bestfriends at ? , MIA or wat ?"
sadness,is still missing her husband.    I really want him home.
sadness,I miss my puppy
sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
neutral,fun in the sun hmmm hell no it's cold
sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
neutral,@juneyee i don't think so.  I WANT DETAILS.
neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???
neutral,my last tweet didn't send  bad phone
neutral,@taxidermi  I was watching Parental Control
sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
sadness,Took a shift tomorrow.    I don't really feel like working right now.
sadness,but now i have no money for a phone
sadness,Too bad the Red Devils.. disappointing to say the least
sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
sadness,is a bad friend
neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
neutral,@aiderushton ill be over in an oir
neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
sadness,@lenje - Still a pity it comes with no lamb though
sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!
neutral,@MrRathbone what about me
neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
sadness,Had to cancel wow for now
sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
neutral,@ poll : was trying to get it to work in a powerpoint to no avail.
happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
sadness,Up late with nothin 2 do.....
neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
neutral,#3wordsaftersex it never started...
sadness,sometimes i wish things could go back to the way they were the beginning of last summer
sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
neutral,@mysticnz no im not  cries LOL
sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
neutral,Come on Knight... It's been well over 4 hours
neutral,twittascope is NOT rocking my socks - go away already!!
neutral,Driving Back home because I forgot the piece of cake for @v_era
sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
sadness,It's pissing me off and not letting me follow ericka
sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
neutral,@koifusionpdx i was so close to the tacos...one spot too late
sadness,I haven't seen Muffin in two whole days!
sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
neutral,@passingcarss i wont have time to buy  and i need a new binder pa
neutral,25-man Ulduar is hard...
neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
neutral,@princess_oats this is happening to me too
neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
neutral,@sillybabyjulie me too
neutral,@digenis that story reminds of living in Portugal
neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow
sadness,my teeth and head hurts
sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
sadness,no more arrested development. i am sad.
neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"
sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
sadness,I feel so deflated. No more doggy.
sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
sadness,Fuuudge. Movie store is closed
sadness,ALO is so sad and quiet and empty tonight
sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
neutral,"lyin in bed, up faaaaar too early"
sadness,Sad that Christian Lacroix had to file bankruptcy
sadness,I dont feel good AT ALL. fuckkk
neutral,When will Medhurst play again?
sadness,Have to go to the dreaded DMV tomorrow
neutral,@duncm I'm a bit Ben's Thai-ed out
happiness,english class! working on interactive orals
neutral,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
neutral,in 7-11  w/o you
neutral,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
sadness,God I just want to sleep.
sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
sadness,@RealBlackWidow But but I dun wanna
sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
neutral,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!
neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
sadness,feels sick to my stomach and idkk whyy
neutral,Counting the hours of lost sunshine until the Weekend
sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
neutral,good morning work this morning gutted lol nevermind
happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
sadness,@judyrey  The link doesn't work
neutral,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble
neutral,"love is like a war,,easy to begin, hard to end..fiuuhh..."
happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
sadness,my stupid tooooth hurts
neutral,Ready To Go @ School
sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
neutral,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today
sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
